nombre_entidad,entidad,produccion_bruta_total,insumos_utilizados,consumo_intermedio,valor_agregado,formacion_capital,activos_fijos_adquiridos
Aguascalientes,1.0,415.68896981197173,406.1803143005003,565.4851026392962,39.17127272727272,212.96753734690358,207.99044281524928
Baja California,2.0,635.289315682281,619.10196904277,952.7964996605566,44.33216483367277,283.45596646300066,376.1159238289206
Baja California Sur,3.0,212.64468591513935,259.9877519457695,365.47513281446146,40.77635199598293,243.46258573939244,274.6060662816972
Campeche,4.0,96.42385915990117,110.16207130250618,163.5817804447582,45.907353512177906,186.2071567243205,167.53882280268266
Chiapas,7.0,31.554875567813106,46.00153942245295,62.317678617780665,48.33385693813541,140.9819414882111,90.10582341012329
Chihuahua,8.0,263.10086831199357,264.86172437681694,404.82128768479004,42.39812643038288,218.36221284097235,220.23397600049483
Ciudad de Mxico,9.0,1316.1858781521983,1848.554282079893,2456.910854422376,46.41103087108532,278.45175128319573,357.7674602395299
Coahuila de Zaragoza,5.0,518.9706197761442,448.93307358103186,642.1626728922446,45.67246943506193,223.65243863832043,242.86477488575403
Colima,6.0,101.93205734767025,140.68191227171872,194.29714115036694,41.29901245946407,212.83551954258405,209.7962879330944
Durango,10.0,129.17077089149453,143.9399778522241,202.82276754141074,52.440776474967436,186.5270124697562,146.20406867671693
Guanajuato,11.0,299.7739694528926,293.367649476956,405.0331391330504,46.530106814611806,208.8266871428094,195.33478901106247
Guerrero,12.0,33.09687550892578,44.09922901659881,63.175073520200435,51.93449483244598,147.09733060601314,92.04322842937675
Hidalgo,13.0,93.76224795977849,101.79114900903527,127.0765575633926,44.65370558874964,178.23533241037597,125.81499169338386
Jalisco,14.0,214.75790151155428,228.85097356758467,324.2139618945869,45.425691753719526,200.46897158911045,167.63810264324152
Michoacn de Ocampo,16.0,52.70203635201169,67.03850321961913,93.76997374069508,45.80832292094807,174.6375419920537,119.77274617527515
Morelos,17.0,114.34114888847375,117.37561429727879,162.93907304315337,44.23415250015567,183.88604913132824,138.30576692197522
Mxico,15.0,194.1551825712589,205.72981208432304,289.1585707541568,48.293907185273156,195.63636293052255,174.39730947149644
Nayarit,18.0,64.33448630136986,79.28490763802408,110.9048692403487,44.29455562474055,195.54849958488998,150.06083665421338
Nuevo Len,19.0,758.9873712447367,739.1101189383546,1053.8373889388276,43.92137853053887,255.90783025027204,297.0635546198609
Oaxaca,20.0,22.934707030040258,29.2989894360139,39.296983173325074,55.03304056983586,128.415751866763,71.51732918688276
Puebla,21.0,100.11645724298175,113.49850123795376,151.60050672304118,47.64811539633566,158.29189578333904,106.02899961909115
Quertaro de Arteaga,22.0,529.6755653607447,511.8104730411172,701.7060820403414,41.80936889061288,241.30987053917764,256.40888110938715
Quintana Roo,23.0,306.53726973406503,321.1035694385817,473.0625282116223,46.28993147600957,216.8989568031518,238.32477036724356
San Luis Potos,24.0,238.6640962585229,214.84091766458488,312.3540990087664,42.26274308141867,184.31228270211426,155.1929896292901
Sinaloa,25.0,178.18528544030687,258.6233730222151,350.41000735176607,41.123781844334346,211.5515365990091,220.67914295988493
Sonora,26.0,228.69546972579744,228.42248416340234,344.88380660324566,43.46821382204813,219.77027308337995,230.97491091214326
Tabasco,27.0,113.19591626882115,144.73780334190232,193.86823154608888,49.22454067205289,186.36675266250458,172.6276208226221
Tamaulipas,28.0,231.12904759043383,229.72307114529505,340.7008096382646,47.635886672274964,213.42009187597645,219.6414092056243
Tlaxcala,29.0,32.95816531916096,34.57319432351444,48.068686266749594,44.18407994572285,152.69067897325718,91.83029886357211
Veracruz de Ignacio de la Llave,30.0,78.62058031274536,95.64125984689872,123.9141164943732,46.218679125228995,164.28513147736194,116.91176637333159
Yucatn,31.0,81.24071955475898,104.74118998207716,141.22711159324592,61.96797127629468,146.17300556551268,91.80110423544949
Zacatecas,32.0,46.67717541737237,50.8284264456811,76.07338894265666,42.309747157028795,172.8496228526494,118.58996781998549
